text,label
"Can we continue this conversation on LINE?",1
"Please send me your LINE ID so we can talk outside the platform.",1
"Could you share your WhatsApp number with me?",1
"Let us move this lesson to a private messaging app.",1
"Please give me your personal email address.",1
"Can you call me directly after this session?",1
"Send your phone number and I will contact you tonight.",1
"Would you like to continue our discussion on Telegram?",1
"Please add me on another social media account.",1
"We can arrange the next lesson outside this application.",1
"Message me privately using the contact details in my profile.",1
"Can you type your mobile number here?",1
"Let us communicate by email instead of using this platform.",1
"I will send you my messaging-app username so you can add me.",1
"Could we complete the payment and lesson arrangement privately?",1
"Please contact me outside the platform for the next appointment.",1
"Can we use a different app to avoid the platform messaging system?",1
"Share your external contact information and I will explain everything there.",1
"I prefer to discuss the lesson through a personal chat channel.",1
"Send me a direct message on LINE after class.",1
"Can I have your email so I can send the details privately?",1
"Please write your phone number with spaces between the digits.",1
"Let us exchange contact information before this chat closes.",1
"I can offer another lesson if you contact me directly.",1
"Would you send me an invitation on your private messaging account?",1
"ขอไอดีไลน์เพื่อคุยกันนอกแพลตฟอร์มได้ไหม",1
"ช่วยส่งเบอร์โทรศัพท์ส่วนตัวมาให้ฉันหน่อย",1
"เราไปคุยรายละเอียดกันต่อในแอปอื่นดีไหม",1
"ขออีเมลส่วนตัวเพื่อส่งข้อมูลให้โดยตรงได้ไหม",1
"หลังเลิกเรียนโทรหาฉันโดยตรงได้เลย",1
"แอดไลน์ฉันแล้วค่อยนัดเวลาเรียนกันอีกครั้ง",1
"ส่งช่องทางติดต่อภายนอกมาให้หน่อย",1
"เราไม่ต้องคุยผ่านระบบนี้ ไปคุยกันส่วนตัวดีกว่า",1
"ขอชื่อผู้ใช้ในแอปแชตของคุณได้ไหม",1
"ทักมาทางโซเชียลมีเดียส่วนตัวของฉันนะ",1
"ส่งหมายเลขโทรศัพท์แบบเว้นวรรคมาให้ฉันได้เลย",1
"เรานัดบทเรียนครั้งหน้ากันนอกแอปนี้ได้ไหม",1
"ฉันจะส่งข้อมูลการชำระเงินให้ทางแชตส่วนตัว",1
"ติดต่อฉันโดยตรงหลังจากจบบทเรียนนี้นะ",1
"ขอช่องทางคุยส่วนตัวเพื่ออธิบายรายละเอียดเพิ่มเติม",1
"ย้ายการสนทนาไปที่แอปส่งข้อความอื่นกันเถอะ",1
"ส่งอีเมลมาแล้วฉันจะส่งเอกสารให้เป็นการส่วนตัว",1
"เพิ่มฉันเป็นเพื่อนในไลน์แล้วคุยกันต่อได้เลย",1
"ขอเบอร์ติดต่อไว้สำหรับนัดหมายครั้งต่อไป",1
"ถ้าออกจากระบบแล้วให้ทักหาฉันทางแอปอื่น",1
"เรามาแลกข้อมูลติดต่อส่วนตัวกันก่อนหมดเวลา",1
"ฉันสะดวกคุยเรื่องราคาในช่องทางส่วนตัวมากกว่า",1
"ส่งบัญชีโซเชียลของคุณมาให้ฉันติดต่อนอกระบบ",1
"โทรมาหาฉันโดยตรงเพื่อยืนยันเวลาเรียน",1
"ฉันจะให้ส่วนลดถ้าคุณติดต่อและจองกับฉันโดยตรง",1
"Please keep all communication inside this platform.",0
"I do not share my personal phone number with students.",0
"Can we schedule the next lesson using the platform calendar?",0
"Please upload the homework through the assignment page.",0
"The lesson about email writing was very helpful.",0
"I use LINE in daily life but not for arranging lessons.",0
"Do not post your contact information in this chat.",0
"The word telephone is part of today's vocabulary exercise.",0
"Please contact customer support through the official help page.",0
"I will send the lesson notes using the platform file feature.",0
"Let us continue here because it protects both participants.",0
"I cannot provide private contact information.",0
"Please choose an available time from the booking system.",0
"Can you explain the homework question again here?",0
"The platform notification says our class starts at six.",0
"For your safety never send passwords or phone numbers.",0
"Today we will practise how to write a professional email.",0
"I received your document through the lesson workspace.",0
"Please do not ask tutors to communicate outside the application.",0
"The support team can help you update your registered email.",0
"I am ready to begin the next exercise.",0
"Could you review my pronunciation during this lesson?",0
"Thank you for explaining the grammar so clearly.",0
"I will book another session through the official system.",0
"Please submit your answer before the timer finishes.",0
"กรุณาสื่อสารกันผ่านแพลตฟอร์มนี้เท่านั้น",0
"ฉันไม่สะดวกให้เบอร์โทรศัพท์ส่วนตัว",0
"นัดเวลาเรียนครั้งต่อไปผ่านระบบจองได้เลย",0
"กรุณาส่งการบ้านผ่านหน้าสำหรับส่งงาน",0
"วันนี้เราจะเรียนเรื่องการเขียนอีเมลภาษาอังกฤษ",0
"ฉันใช้ไลน์ในชีวิตประจำวันแต่ไม่ใช้ติดต่อนอกบทเรียน",0
"อย่าส่งข้อมูลติดต่อส่วนตัวในห้องสนทนานี้",0
"คำว่าโทรศัพท์เป็นคำศัพท์ของบทเรียนวันนี้",0
"กรุณาติดต่อฝ่ายสนับสนุนผ่านช่องทางอย่างเป็นทางการ",0
